Nome da classe, Número de objetos, Variações de fundo, Variações de iluminação, Número de repetições, Total de amostras
chave-amarela, 3, 3 (madeira granito papel tapete), 4 (todas as variações do produto cartesiado), 3, 9
chave-preta, 3, 3 (madeira granito papel tapete), 4 (todas as variações do produto cartesiado), 3, 9
chave-roxa, 3, 3 (madeira granito papel tapete), 4 (todas as variações do produto cartesiado), 3, 9
escolar-caneta, 3, 3 (madeira granito papel tapete), 4 (todas as variações do produto cartesiado), 3, 9
escolar-lapis, 3, 3 (madeira granito papel tapete), 4 (todas as variações do produto cartesiado), 3, 9
escolar-lapiseira, 3, 3 (madeira granito papel tapete), 4 (todas as variações do produto cartesiado), 3, 9
moeda-5, 3, 3 (madeira granito papel tapete), 4 (todas as variações do produto cartesiado), 3, 9
moeda-25, 3, 3 (madeira granito papel tapete), 4 (todas as variações do produto cartesiado), 3, 9
moeda-50, 3, 3 (madeira granito papel tapete), 4 (todas as variações do produto cartesiado), 3, 9
talher-colher, 3, 3 (madeira granito papel tapete), 4 (todas as variações do produto cartesiado), 3, 9
talher-faca, 3, 3 (madeira granito papel tapete), 4 (todas as variações do produto cartesiado), 3, 9
talher-garfo, 3, 3 (madeira granito papel tapete), 4 (todas as variações do produto cartesiado), 3, 9
